shortest_path	target_node
>KRAS>PIK3R2>HSPA8>HLA-DRB3	HLA-DRB3
>KRAS>HDAC3>HSPA8>HLA-DRB3	HLA-DRB3
>KRAS>RAF1>PKM2>HLA-DRB3	HLA-DRB3
>KRAS>APP>PKM2>HLA-DRB3	HLA-DRB3
>KRAS>UBC>PKM2>HLA-DRB3	HLA-DRB3
>KRAS>EGLN1>PKM2>HLA-DRB3	HLA-DRB3
>KRAS>APP>POMC>HLA-DRB3	HLA-DRB3
>KRAS>UBC>HSP90AB1>HLA-DRB3	HLA-DRB3
>KRAS>PHB>HSP90AB1>HLA-DRB3	HLA-DRB3
>KRAS>HDAC1>HSP90AB1>HLA-DRB3	HLA-DRB3
>KRAS>CALM1>HSP90AB1>HLA-DRB3	HLA-DRB3
>KRAS>UBC>ANXA11>HLA-DRB3	HLA-DRB3
>KRAS>UBC>CDCA8>HLA-DRB3	HLA-DRB3
>KRAS>ELAVL1>CDCA8>HLA-DRB3	HLA-DRB3
>KRAS>SIRT1>CDCA8>HLA-DRB3	HLA-DRB3
>KRAS>UBC>MAP3K13>HLA-DRB3	HLA-DRB3
>KRAS>UBC>ATP1B1>HLA-DRB3	HLA-DRB3
>KRAS>ELAVL1>ATP1B1>HLA-DRB3	HLA-DRB3
>KRAS>EEF1A1>CUL4A	CUL4A
>KRAS>UBC>CUL4A	CUL4A
>KRAS>UBC>RAC1>OPHN1	OPHN1
>KRAS>RGL2>RAC1>OPHN1	OPHN1
>KRAS>RAP1GDS1>RAC1>OPHN1	OPHN1
>KRAS>UBC>RHOA>OPHN1	OPHN1
>KRAS>RAP1GDS1>RHOA>OPHN1	OPHN1
>KRAS>UBC>CDC42>OPHN1	OPHN1
>KRAS>ELAVL1>CDC42>OPHN1	OPHN1
>KRAS>RAP1GDS1>CDC42>OPHN1	OPHN1
>KRAS>UBC>ABCB10	ABCB10
>KRAS>ELAVL1>ABCB10	ABCB10
>KRAS>UBC>DNM1L	DNM1L
>KRAS>UBC>TM9SF1	TM9SF1
>KRAS>UBC>SLC4A2	SLC4A2
>KRAS>UBC>EIF4G2	EIF4G2
>KRAS>HDAC1>SNAI3	SNAI3
>KRAS>APP>SCAMP3	SCAMP3
>KRAS>UBC>SCAMP3	SCAMP3
>KRAS>UBC>EHMT2	EHMT2
>KRAS>HDAC1>EHMT2	EHMT2
>KRAS>UBC>FGD3	FGD3
>KRAS>DNAJA3>ATXN1>UNK	UNK
>KRAS>UBC>ATXN1>UNK	UNK
>KRAS>CCT7>IGBP1>UNK	UNK
>KRAS>APP>IGBP1>UNK	UNK
>KRAS>UBC>IGBP1>UNK	UNK
>KRAS>APP>UBQLN1>UNK	UNK
>KRAS>UBC>UBQLN1>UNK	UNK
>KRAS>RAP1GDS1>UBQLN1>UNK	UNK
>KRAS>RASSF5>UBQLN1>UNK	UNK
>KRAS>UBC>S100A9>UNK	UNK
>KRAS>UBC>VPS26A>UNK	UNK
>KRAS>ELAVL1>VPS26A>UNK	UNK
>KRAS>UBC>TTLL12>UNK	UNK
>KRAS>UBC>DSTN>UNK	UNK
>KRAS>UBC>USP34>UNK	UNK
>KRAS>UBC>PAICS>UNK	UNK
>KRAS>CALM1>PAICS>UNK	UNK
>KRAS>UBC>TYMS>UNK	UNK
>KRAS>UBC>S100A4>UNK	UNK
>KRAS>UBC>SEC24A>UNK	UNK
>KRAS>UBC>UFC1>UNK	UNK
>KRAS>UBC>UBE2A>UNK	UNK
>KRAS>UBC>ZRANB2>UNK	UNK
>KRAS>UBC>TRIP6>UNK	UNK
>KRAS>UBC>KIAA1598>UNK	UNK
>KRAS>SIRT1>KIAA1598>UNK	UNK
>KRAS>UBC>ATP6V1B2>UNK	UNK
>KRAS>UBC>ATP6V1F>UNK	UNK
>KRAS>UBC>UBA2>UNK	UNK
>KRAS>UBC>UBA52>UNK	UNK
>KRAS>UBC>YAP1>UNK	UNK
>KRAS>ELAVL1>YAP1>UNK	UNK
>KRAS>UBC>UBE2C>UNK	UNK
>KRAS>ELAVL1>UBE2C>UNK	UNK
>KRAS>UBC>USP9X>UNK	UNK
>KRAS>UBC>UBE2D1>UNK	UNK
>KRAS>UBC>UBXN1>UNK	UNK
>KRAS>UBC>STAM>UNK	UNK
>KRAS>UBC>UCHL3>UNK	UNK
>KRAS>UBC>UBE2B>UNK	UNK
>KRAS>CCT7>PRKAA1>NRBF2	NRBF2
>KRAS>UBC>PRKAA1>NRBF2	NRBF2
>KRAS>HDAC1>PRKAA1>NRBF2	NRBF2
>KRAS>ELAVL1>PRKAA1>NRBF2	NRBF2
>KRAS>EEF1A1>IKBKG>NRBF2	NRBF2
>KRAS>UBC>IKBKG>NRBF2	NRBF2
>KRAS>EGLN1>IKBKG>NRBF2	NRBF2
>KRAS>UBC>PGK1>NRBF2	NRBF2
>KRAS>UBC>PA2G4>NRBF2	NRBF2
>KRAS>UBC>CPVL>NRBF2	NRBF2
>KRAS>UBC>PIK3C3>NRBF2	NRBF2
>KRAS>HDAC1>PIK3C3>NRBF2	NRBF2
>KRAS>UBC>ATG14>NRBF2	NRBF2
>KRAS>ELAVL1>ATG14>NRBF2	NRBF2
>KRAS>UBC>RXRA>NRBF2	NRBF2
>KRAS>HDAC1>RXRA>NRBF2	NRBF2
>KRAS>HDAC3>RXRA>NRBF2	NRBF2
>KRAS>MAPK1>RXRA>NRBF2	NRBF2
>KRAS>UBC>RARA>NRBF2	NRBF2
>KRAS>HDAC1>RARA>NRBF2	NRBF2
>KRAS>HDAC3>RARA>NRBF2	NRBF2
>KRAS>MAPK1>RARA>NRBF2	NRBF2
>KRAS>UBC>BECN1>NRBF2	NRBF2
>KRAS>HDAC3>THRB>NRBF2	NRBF2
>KRAS>UBC>NSUN5	NSUN5
>KRAS>UBC>CHD2	CHD2
>KRAS>EEF1A1>NPM1>MC4R>ATRNL1	ATRNL1
>KRAS>APP>NPM1>MC4R>ATRNL1	ATRNL1
>KRAS>UBC>NPM1>MC4R>ATRNL1	ATRNL1
>KRAS>PHB>NPM1>MC4R>ATRNL1	ATRNL1
>KRAS>HDAC1>NPM1>MC4R>ATRNL1	ATRNL1
>KRAS>SIRT1>NPM1>MC4R>ATRNL1	ATRNL1
>KRAS>APP>POMC>MC4R>ATRNL1	ATRNL1
>KRAS>UBC>MGRN1>MC4R>ATRNL1	ATRNL1
>KRAS>ELAVL1>MGRN1>MC4R>ATRNL1	ATRNL1
>KRAS>UBC>IL1RAP>MC4R>ATRNL1	ATRNL1
