STUDY_ID	SAMPLE_ID	HSP90AA1
blca_tcga_pan_can_atlas_2018	TCGA-GU-A764-01	32690.6
blca_tcga_pan_can_atlas_2018	TCGA-GU-A766-01	25647.8
blca_tcga_pan_can_atlas_2018	TCGA-GU-A767-01	16134.5
blca_tcga_pan_can_atlas_2018	TCGA-GU-AATO-01	22684.7
blca_tcga_pan_can_atlas_2018	TCGA-GU-AATP-01	12546.1
blca_tcga_pan_can_atlas_2018	TCGA-GU-AATQ-01	48977.5
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3JV-01	30019.1
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3JW-01	55543
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3JX-01	25855.2
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3JZ-01	18157.8
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3QF-01	13023.5
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3QG-01	21096.8
