STUDY_ID	SAMPLE_ID	EGFR
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SM-01	587
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SN-01	1366.48
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SO-01	2532.24
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SP-01	1396.44
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SQ-01	1675.89
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SR-01	9239.23000000001
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SS-01	1310.98
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43N-01	1007.55
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43P-01	355.072
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43S-01	120.593
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43U-01	84.4463
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43X-01	91.0161
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43Y-01	1322.31
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BR-01	1166.99
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BS-01	96.0295
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BT-01	234.386
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BU-01	1232.81
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BV-01	635.656
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BX-01	21.7105
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BY-01	522.74
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BZ-01	1088.4
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5C0-01	763.207
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5C1-01	478.84
blca_tcga_pan_can_atlas_2018	TCGA-FD-A62N-01	276.89
blca_tcga_pan_can_atlas_2018	TCGA-FD-A62O-01	1410.06
blca_tcga_pan_can_atlas_2018	TCGA-FD-A62P-01	736.639
blca_tcga_pan_can_atlas_2018	TCGA-FD-A62S-01	11264
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TA-01	277.838
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TB-01	819.629
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TC-01	523.916
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TD-01	705.544
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TE-01	1197.74
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TF-01	895.613
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TG-01	512.725
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TH-01	941.399
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TI-01	1926.48
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TK-01	479.425
blca_tcga_pan_can_atlas_2018	TCGA-FJ-A3Z7-01	224.847
blca_tcga_pan_can_atlas_2018	TCGA-FJ-A3Z9-01	551.611
blca_tcga_pan_can_atlas_2018	TCGA-FJ-A3ZE-01	2303.31
blca_tcga_pan_can_atlas_2018	TCGA-FJ-A3ZF-01	481.873
blca_tcga_pan_can_atlas_2018	TCGA-FJ-A871-01	99.395
blca_tcga_pan_can_atlas_2018	TCGA-FT-A3EE-01	7413.58
blca_tcga_pan_can_atlas_2018	TCGA-FT-A61P-01	1320.51
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EC-01	1534.74
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EF-01	1286.16
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EJ-01	1887.77
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EK-01	1435.36
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EL-01	381.079
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EO-01	116.478
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2ES-01	1000.76
blca_tcga_pan_can_atlas_2018	TCGA-G2-A3IB-01	1683.79
blca_tcga_pan_can_atlas_2018	TCGA-G2-A3IE-01	616.13
blca_tcga_pan_can_atlas_2018	TCGA-G2-A3VY-01	665.019
blca_tcga_pan_can_atlas_2018	TCGA-G2-AA3B-01	63.3662
blca_tcga_pan_can_atlas_2018	TCGA-G2-AA3C-01	238.909
blca_tcga_pan_can_atlas_2018	TCGA-G2-AA3D-01	337.903
blca_tcga_pan_can_atlas_2018	TCGA-G2-AA3F-01	1396.64
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3BM-01	2482.2
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3I6-01	2885.14
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3OO-01	587.053
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3RB-01	54902.5
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3RC-01	3404.86
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3RD-01	936.761
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3WC-01	2458.59
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3YS-01	872.645
blca_tcga_pan_can_atlas_2018	TCGA-GC-A4ZW-01	103.89
blca_tcga_pan_can_atlas_2018	TCGA-GC-A6I1-01	556.663
blca_tcga_pan_can_atlas_2018	TCGA-GC-A6I3-01	2067.89
blca_tcga_pan_can_atlas_2018	TCGA-GD-A2C5-01	99.1702
blca_tcga_pan_can_atlas_2018	TCGA-GD-A3OP-01	954.674
blca_tcga_pan_can_atlas_2018	TCGA-GD-A3OQ-01	984.129
blca_tcga_pan_can_atlas_2018	TCGA-GD-A3OS-01	541.387
blca_tcga_pan_can_atlas_2018	TCGA-GD-A6C6-01	64.9402
blca_tcga_pan_can_atlas_2018	TCGA-GD-A76B-01	71.4364
blca_tcga_pan_can_atlas_2018	TCGA-GU-A42P-01	3627.55
blca_tcga_pan_can_atlas_2018	TCGA-GU-A42Q-01	6365.78
blca_tcga_pan_can_atlas_2018	TCGA-GU-A42R-01	353.33
blca_tcga_pan_can_atlas_2018	TCGA-GU-A762-01	1123.73
blca_tcga_pan_can_atlas_2018	TCGA-GU-A763-01	171.229
blca_tcga_pan_can_atlas_2018	TCGA-GU-A764-01	693.624
blca_tcga_pan_can_atlas_2018	TCGA-GU-A766-01	1709.49
blca_tcga_pan_can_atlas_2018	TCGA-GU-A767-01	176.347
blca_tcga_pan_can_atlas_2018	TCGA-GU-AATO-01	60.7046
